AGE C MWD MER DELL HPQ IBM AA CAT PG
  7.774  25.836  10.804   4.341   9.093   3.246  -6.683  -8.267   1.694  -4.332
 -5.308  -0.510  -6.684  -1.292 -17.677  -1.881  -4.662   2.280  17.139  -1.192
 -5.489   0.916   9.983   7.697 -16.626  11.106   9.347   2.438   3.183  -0.247
  4.899  13.221   4.888   6.675 -22.936  -2.805  -6.654   3.448   4.282   5.597
  6.119   2.359   1.736   7.154   7.080 -11.364 -10.127   1.532   2.618  -5.907
  0.762   9.625  17.685  11.645  -8.947   2.700   3.119   5.748   6.740  -1.021
  8.011   7.360   4.732   0.785  -9.770  -7.666  -8.443 -10.895  -4.197  -2.055
  4.409  -7.843  -9.878  -0.991  21.553   7.427   9.272   1.052  15.761  14.612
 -3.497  -9.324  -8.659  -6.581  33.692  -0.089  17.405   2.168  -7.089   4.350
 -3.435  -3.067  -1.649  -7.693 -16.845   7.203   4.617  -0.075   4.144   0.186
  1.382   8.112  11.942   7.073  -3.011   7.663  -0.248  14.382  16.915   4.681
 -5.084 -11.844 -15.956  -9.742  13.366   6.034  -6.244  -5.168   3.811  -3.632
-19.325  -5.342  -4.232  -8.599   0.708  -9.395   3.018  -5.109   3.399  -7.248
 -1.705  -1.725  -4.018  -1.313 -13.178  -2.590   4.957  -5.368  -2.398   6.581
  6.832  -5.309  -2.901   6.041  29.769  -2.526   9.655   4.103  -3.075  -1.224
 -8.345  -2.246  -5.157 -10.601  -8.205  -4.103  -7.091   3.195  -6.778  -5.666
  1.088   2.352   6.233   4.282   5.800   2.795   4.958   6.648   8.314   4.745
 14.627  11.778  15.173  11.176  15.698  15.408  10.738   7.486   6.086   8.819
 -9.006 -11.534 -11.317 -15.154  14.807  -2.833   1.257   0.508  -6.560  -2.438
  0.957   5.291   4.819  13.970  18.452  11.605   6.589   0.649  10.257   5.625
 -6.441  -5.765  -9.542  -3.933  -3.671  -0.569  -5.139  -4.693  -9.855  -1.037
  3.881  -1.612  -0.678  -6.388  -5.256   2.014   3.420   5.659   1.381  -1.267
  1.607  14.042   1.431   2.615   3.488   0.150  -2.347  -9.192  -6.825   5.129
 21.968   4.943  11.577  11.465  -3.120  13.947   4.199  -1.276   0.006   1.630
 -2.078  -1.121  -0.003   3.181   4.944   4.457   8.659   5.933   7.029  -0.853
  3.506   6.649   2.683   6.588  24.672   9.394  14.750   7.662   5.385   5.529
 -1.565   1.824   9.060   3.396  -8.463  -0.662  -1.926   3.650   2.519   2.390
 -0.390   3.402   7.262  11.246  18.899  12.726   2.770   7.340   6.183  -0.456
  8.437   7.834   1.920   5.263   7.656   4.079  12.960  13.264   9.626  -4.069
 -0.960   1.291   3.436   3.847  18.012   2.279  -5.272   0.164  -5.068   0.276
  9.365  10.237  11.215   8.020   9.950   4.029  -9.025  -7.880 -15.710  10.551
 -4.665  -5.036 -10.419 -11.640   9.266  10.655   2.470  -3.986  -0.044   5.274
  6.063  17.771  -1.309   0.022  -5.540 -10.838  -0.832  14.700   7.703   6.343
-12.002   4.824  -6.950  -8.536 -22.180   0.716  -5.862 -10.044  -4.705  -4.475
  4.819   4.573  18.157  11.613 -21.355   0.777  18.325   5.177   9.754   1.270
 -3.885   1.651  -1.977   0.916  25.168  18.477  12.846   2.075   3.287  -2.784
  2.824  -1.722  10.520   5.010  -2.959  -6.791  -9.690   9.697   1.459   2.940
 -5.940  -7.231  -3.441  -1.030  36.528  12.071  -3.559  -0.812  -5.596  -0.236
  8.624   1.167  -1.911   7.325  20.290   0.172  -1.022  -1.088   1.921   3.576
  6.054   9.516  -1.182   0.155  -8.551  -6.654  -7.684  -7.321   2.814   2.705
  0.493  -7.826  -0.836  -7.262   8.662 -12.098   8.157   1.240  -2.606  -1.450
  1.862   2.597  -2.472   1.028  20.525  -0.989   6.300   6.691   4.133  -0.841
  4.165  12.832   3.764   7.127  15.405  11.279   8.428  -5.454   9.013   9.280
  2.159  10.322   0.941   6.226   4.247  -9.903   3.199  -0.488  -8.840   1.584
  4.183  10.180  19.233  14.243  24.466  21.677  23.399   8.110  14.881   9.429
  7.703   0.424  -5.399   1.148   4.142  -6.915  -5.350  -0.213  -5.306  -1.444
  0.696  15.338  -0.069   2.802  24.051   4.307   3.129   7.816   3.269   7.079
  3.994   1.969  10.086  14.055   7.144   6.233  -8.561   3.169   0.388   3.474
-13.302 -10.918  -7.359 -10.975  -5.349  -5.114  -4.950  -4.990   2.128  -4.903
 13.391  15.195   7.357  10.662  23.322  -2.069  16.510   2.695  10.972   9.548
  5.651  -1.051   7.104  11.158  34.008  -2.326   7.617   4.946   9.270   9.221
 15.226  14.248   4.271  12.089   3.978   8.599   3.924   1.966   9.576   2.037
 -1.590  13.890  21.675  17.713  45.189  24.579  16.754  16.992   4.352   7.636
 -6.346 -12.157  -8.652 -12.833  -4.449 -12.571  -4.376  -7.208   3.255 -12.918
 29.323   7.166  11.925  20.218  17.638  12.925   4.150  -0.716  -7.517   3.343
 -3.334   2.276  -9.519  -9.260 -17.704 -11.825  -7.490 -11.390  -4.933  -1.587
  2.203   8.590  10.413   3.657   4.642  -1.240  10.942  -7.963  -6.892  11.612
 16.434   5.467   8.431   3.488  -0.653   1.844  -4.882   4.217   0.743   4.328
 -5.137  -8.425  -1.350 -13.702  17.958  -4.027  -6.035   8.106  -0.936  -1.905
 11.127  12.060  19.169  13.034  40.242  11.010   5.538  -4.025  13.248   7.869
  4.031   7.446   3.968  15.563  -3.547  -5.621  -0.958  -6.637   0.497  -1.008
  2.428   1.775   8.095   5.524  18.776  18.522  11.140  12.212   3.447  -2.706
-10.638  -0.315  -1.447   1.508   1.634 -17.747   1.176 -10.578  -3.929   1.637
  5.006  -1.435  16.639   2.802  12.213  -4.070  -2.702  -5.370  -4.112   8.154
 -8.905  10.721  -4.914   5.684  16.590  -7.720  14.992   4.705  -8.175 -12.935
-30.968 -34.423 -33.718 -32.730  -8.322 -12.908 -15.242 -13.483 -13.810  -4.030
 11.883 -15.877 -26.111 -28.888  31.116   8.954  13.711  18.196   5.568  -7.410
 13.691  25.483  50.858  24.703  -0.710  13.484  15.234  11.290   1.327  24.763
  7.227   6.547   6.748  27.158  -7.524   3.471  10.976  -6.204   9.646  -1.565
  0.179  -1.485   1.609 -11.366  19.984   9.081  11.292   0.055  -7.319   3.842
 -9.422  12.831  21.983  13.309  36.274  14.368  -0.972  11.709  -5.552  -0.529
 -4.245   4.424   4.103   1.099 -20.245 -15.601  -7.617  -2.955   4.825  -1.883
  0.474   8.353  10.058  14.939   1.658   1.940   4.048   1.327   0.453   9.057
  6.717  17.192  -0.868  -5.230   0.407  15.956  17.661  50.781  40.432  -4.278
 -4.304 -11.894  -3.085  -0.277 -16.764  19.197  10.645 -11.697 -15.132  -0.841
 -4.024   7.166   5.966  -5.738   7.060   6.349  11.042  12.119   8.959  -4.799
-14.526  -6.269 -12.204 -14.845  10.094   3.788  -3.135  -3.611  -2.129   1.450
 -9.648  -0.674  -5.310   9.930  19.026   0.263  -1.193   7.772  -3.805   9.199
  5.182  -1.374   3.543 -10.256 -14.731 -14.117  -3.250  -4.262  -3.591  -5.932
 14.287  23.209  23.550  16.107  -4.441 -18.656 -19.207  -2.520   1.100  11.803
 -2.075  -1.114   8.926   2.469   6.743  27.463   4.598   7.728 -16.581   3.034
  7.844   2.931  17.909   3.060  18.171  19.630   4.236  26.284   1.049   0.546
  2.870   1.914  -7.344   3.683 -25.076  -5.279   3.612 -16.483  -9.580  -7.909
 -4.802  -9.283   5.858  18.004   5.716  23.787  -8.819  -1.808 -17.841 -13.511
 26.264  15.087  17.183   1.965  31.685  -1.563  14.368   2.081  12.004 -36.178
 -6.409  -0.726  -7.621  -3.388  -7.540   1.128  -5.980  -8.123   0.352   5.847
 -7.200   3.925  -7.323  -3.438 -14.448 -11.455  -4.066 -10.020  -3.494  10.815
 11.154  -3.590  15.959  16.129  13.874  28.974   1.563  -1.223 -11.912 -14.384
 35.080  16.620   9.353  11.895 -11.397 -13.059   2.127   3.814   1.061  -0.540
 -1.860  10.061  17.369  11.926  -1.219  10.082  17.007   9.823   7.382   8.174
  0.101  -7.888 -15.491  -9.466 -29.870 -20.036 -15.273 -24.372  -8.663   7.892
 -3.496  -3.168 -12.457   5.551  -4.769  -4.633 -12.954  12.824   4.387   6.636
-12.214  -5.593 -21.604 -17.607 -35.260 -32.503  -5.458  -1.821  11.607   4.298
  5.734   2.029  24.568  17.338  -9.896  -0.426  -9.572  18.366  19.869   4.277
 -1.225   9.182   6.864   6.130  49.392  16.323  31.336   9.690  -6.247  -8.394
-17.810 -12.288 -23.602 -17.786 -16.675 -22.116 -11.094  -3.074  -6.332  -2.272
 -4.768  -8.908 -18.225  -7.881  17.060   8.297  -4.092   0.163   6.314 -11.574
  9.596   8.948  17.472  11.049   1.828  -9.405  19.390  14.837  13.558  -3.837
  4.247   4.256   3.234   5.258  -7.466   2.829  -3.081   4.288   7.587   6.676
  5.918   2.812  -1.491  -9.095   7.057  -2.474   0.782  -8.981  -7.879  -0.976
 -3.070  -5.270  -6.800  -8.748   2.690 -14.069  -7.186  -0.724  10.497  11.620
 -7.023  -8.744 -11.096  -4.852 -20.889  -6.160  -5.147  -2.727  -9.536   4.127
-13.774 -11.792 -13.341 -21.538 -13.550 -30.724  -8.454 -18.872 -10.620  -2.054
 12.438  12.215   5.861   7.874  29.232   4.680  17.646   4.367   0.423   1.702
  7.583   5.424  13.295  14.440  16.316  30.504   6.932  19.460   5.882   4.832
  3.920   5.245   0.652   3.912  -2.826  -6.371   4.505  -8.042  10.045   2.015
 -3.896  -5.922  -1.407  -2.325   1.003   7.506 -10.943   0.706  -3.238   3.565
 -4.049  -4.680 -10.835  -5.774 -10.330  -9.145  -9.070   5.072  10.258   3.663
  7.905   9.287  16.524  15.346   5.602 -10.587   5.844   0.303   2.265   6.102
 -7.101 -12.704 -16.476 -24.412   0.738  -4.826 -19.605  -9.974  -3.450   0.467
 -3.150  -0.006  -4.880  -2.695   1.792  11.493  -3.917   3.088  -4.447  -0.931
 -1.805 -10.401  -5.377  -0.657  -2.786 -19.681 -10.645  -5.373  -6.493   0.401
-11.640 -13.585  -5.943 -11.720  -4.769  -7.535  -2.362 -18.089  -8.107  -0.028
  9.284   4.511   5.739   1.464   6.644  -5.223   7.152  -7.381  -2.506  -0.517
-14.748  -9.601 -20.829  -9.164 -11.819 -12.645 -22.781 -23.213 -14.847   0.688
  2.745  25.096  15.423  15.043  21.561  35.258  35.248  14.169  10.562  -0.713
  9.685   5.121  16.136  14.944  -0.137  23.189  10.197  16.398  22.052  -4.534
 -8.405  -9.590 -11.859 -12.858  -6.603 -10.571 -10.937 -10.941  -8.476   1.569
-13.417  -1.831  -4.582  -7.818 -10.868   0.191   0.806 -13.311  -3.138  -0.051
 -6.748  -3.123  -2.868  -2.325  12.895  -9.058  -0.225   4.354   6.769  -4.433
 -2.381   3.235   3.976   3.779   1.204  -1.482   0.522  -5.558   4.587   8.689
 15.080  13.839  17.194  15.866   6.021   4.729   8.155  18.998   7.528   1.265
 10.203   4.930   2.145   5.782   8.158  19.543   3.798   7.237  -0.945   2.103
  4.361   4.263  -6.634   7.729   1.422   9.564  -6.369   3.540   6.654  -2.952
  8.083   5.416  11.434  16.399   5.704  -0.685  -1.590   8.827  21.772  -1.034
 -2.756  -3.316   2.767  -0.870  -3.226  -5.936   1.053   3.306   6.383  -0.739
  7.061   4.904   3.344  -0.543   2.374  -2.537   7.628  -8.482  -4.241   6.257
  5.365   4.845   9.119  10.516   7.643  15.161   1.225  20.604   6.911   6.307
 -9.361  -0.858   0.670  -3.946  -4.050  -2.632   1.286   4.325   3.703  -2.163
 -1.028   3.136   4.610   3.273  -1.782   5.951   2.289  15.743   9.090   3.707
  4.950   2.687   0.946   0.165  -1.663   3.497   6.994 -10.126  -5.518   1.584
  0.448   1.499   2.585   4.311  -2.440  -4.617  -2.667   9.987  -3.124   1.337
  2.614   2.787  -4.195  -2.774   2.893   0.846  -4.907  -7.498   4.304   2.234
 -6.546  -6.287  -9.956  -9.027   3.372 -13.826  -4.074 -11.436  -1.305   1.228
  2.129  -3.537   4.040   4.949   1.238   7.732   0.596   2.191  -3.147   1.872
 -8.689   0.045  -1.489  -5.071   1.540  -0.388  -0.603   5.421   5.322   0.877
 -4.607  -4.433  -6.156  -8.003  -1.088  -4.613  -1.336  -3.138  -7.085  -3.858
  6.892   5.524   2.715   2.914  -1.900 -11.339  -2.650   1.438  -1.198   7.202
 -0.137  -5.419  -2.956  -2.781   2.044   5.117   1.102   3.599  10.523  -3.443
  4.590   1.327   3.991   8.341  -1.663  -0.627   4.530  -3.392   0.475  -5.117
  7.660   0.684  -0.838   3.406  15.401   7.009   5.031   4.843  13.498   4.321
 10.738   7.482   9.217   7.105   3.816   5.067   4.423  -7.716   6.328   2.809
 -1.467   1.612   1.085   0.308  -1.096  -6.775  -5.428  -6.273  -8.398  -3.099
  0.843  -2.026   0.700  -2.426  -4.211   5.965  -0.918   9.141   6.466  -0.475
  4.063  -6.054   1.153  -3.608  -4.394   5.637  -1.525  -5.614  -4.026  -0.398
-11.593   5.242  -7.847  -4.949  -9.576  -6.932 -16.647  -4.740  -3.491   2.466
  3.793   0.083  -7.192   0.746  14.406   9.729  -1.061  -6.336   6.646   1.610
  9.435  -2.115   6.922   1.135  -1.425   4.550  -2.034  -3.827   1.028  -4.599
 -2.151  -5.222   1.352   6.585   2.291   4.453  12.211   7.080  13.382   5.722
  1.768   0.334  -4.396  -2.702 -12.320  12.467  -3.450  -4.244   2.644  -0.556
 -3.028   3.713   5.750   7.045  -4.218   5.191  -0.781  -9.132   5.590   6.889
 -3.710   0.262   1.063   5.217  -7.093  -4.282   1.760  -0.841 -10.369  -5.674
  3.812   6.688   2.654   2.581  -5.747   5.490   8.494  13.139   9.545   1.820
  6.461  -0.365   0.943   1.648  -0.991  -3.560  -7.861   7.556  -0.341   0.882
  1.162  -4.371   8.424  10.484  -2.490   8.553  -1.448   6.174  17.614   2.463
 -6.402   0.232  -3.282   2.815  -1.427   4.859  -1.427  -6.814   7.260   0.813
 11.615   1.479   4.921   1.632   2.245   0.142   2.403   3.853  -2.114  -4.214
  5.593   6.413   2.402  -3.558 -12.346  -1.690  -0.541  10.153   5.438   1.161
  1.045  -1.695  -7.672  -5.114  -3.523  -0.671  -2.992  -6.048  -4.077  -7.196
  3.183  -2.529   5.622  -4.335  -4.024  -2.314  -4.254   1.619   1.698   2.089
 -2.871  -0.288   5.220   4.274 -11.778   0.313   0.356  -7.860  -4.857   1.224
 -2.526   2.754  -1.481   0.905   3.600  14.159   4.573  -4.453  -6.791   9.729
  0.849   0.248  10.421   5.978   0.885   0.174   0.797  -2.325  -1.230  -0.272
  6.666   0.576   4.788  11.352   6.114   5.177  12.270   2.693  -7.690   2.365
  0.991  -0.571  -0.765  -0.114  11.549   1.447  -0.531   7.925   1.763  -1.358
  9.345  11.917   6.515   6.081  -8.297   4.183   5.286  -4.126  -1.533   1.953
